Event,idade_media,idade_min,idade_max,altura_media,altura_min,altura_max,peso_media,peso_min,peso_max,total_atletas
Golf Men's Individual,31.197080291970803,15.0,50.0,179.19117647058823,165.0,196.0,79.24528301886792,63.0,104.0,147
Boxing Men's Super-Heavyweight,25.10958904109589,18.0,36.0,190.3308823529412,171.0,205.0,99.07720588235294,79.0,140.0,146
Judo Women's Heavyweight,26.16551724137931,16.0,42.0,175.7593984962406,160.0,193.0,105.96946564885496,68.0,163.0,145
"Athletics Women's 3,000 metres Steeplechase",26.027972027972027,17.0,36.0,167.25714285714287,152.0,183.0,52.47142857142857,42.0,76.0,143
Weightlifting Men's Flyweight,24.640287769784173,15.0,40.0,155.448,144.0,166.0,53.244680851063826,50.0,67.0,141
Sailing Mixed Two Person Dinghy,24.692857142857143,17.0,39.0,175.3695652173913,151.0,193.0,68.14855072463769,50.0,97.0,140
"Art Competitions Mixed Sculpturing, Statues",46.5234375,25.0,97.0,,,,,,,139
Swimming Women's 200 metres Individual Medley,19.845588235294116,13.0,31.0,170.71969696969697,155.0,185.0,60.95454545454545,44.0,75.0,136
"Fencing Women's Sabre, Individual",25.022900763358777,14.0,36.0,169.77862595419847,152.0,182.0,62.18320610687023,51.0,81.0,131
Sailing Women's Three Person Keelboat,28.82170542635659,16.0,49.0,169.31782945736435,156.0,186.0,65.6046511627907,50.0,87.0,129
Swimming Women's 200 metres Butterfly,19.833333333333332,13.0,32.0,169.09016393442624,157.0,182.0,58.954918032786885,48.0,75.0,126
Cycling Men's Points Race,26.557377049180328,18.0,43.0,176.5897435897436,163.0,194.0,69.3076923076923,56.0,90.0,122
Cycling Women's Sprint,25.41025641025641,17.0,39.0,167.25438596491227,155.0,185.0,66.5701754385965,50.0,90.0,117
Swimming Women's 200 metres Backstroke,19.482758620689655,13.0,30.0,172.14285714285714,155.0,186.0,61.42857142857143,39.0,79.0,116
Rowing Women's Coxed Quadruple Sculls,23.791304347826088,14.0,34.0,171.5391304347826,147.0,188.0,65.05217391304348,41.0,86.0,115
"Art Competitions Mixed Architecture, Unknown Event",43.2375,24.0,75.0,183.5,179.0,188.0,80.5,77.0,84.0,114
"Wrestling Men's Light-Flyweight, Freestyle",23.53211009174312,15.0,35.0,156.33684210526314,140.0,170.0,49.857142857142854,48.0,57.0,113
Sailing Mixed Skiff,28.754545454545454,19.0,43.0,180.35454545454544,167.0,193.0,75.33636363636364,62.0,92.0,110
"Wrestling Men's Light-Flyweight, Greco-Roman",23.863636363636363,16.0,37.0,157.2621359223301,145.0,175.0,49.96116504854369,47.0,59.0,110
Weightlifting Men's Heavyweight I,25.556603773584907,19.0,37.0,176.7594936708861,165.0,186.0,99.35514018691589,90.0,125.0,107
Shooting Men's Double Trap,32.632075471698116,18.0,55.0,180.42307692307693,160.0,198.0,85.67619047619047,60.0,120.0,106
"Gymnastics Men's Team All-Around, Free System",24.514285714285716,17.0,38.0,,,,,,,105
Swimming Men's 400 metres Individual Medley,21.155339805825243,15.0,31.0,182.7319587628866,165.0,197.0,75.82474226804123,50.0,95.0,103
Swimming Women's 800 metres Freestyle,19.07,13.0,30.0,170.96907216494844,153.0,188.0,60.649484536082475,45.0,82.0,100
Sailing Men's Two Person Keelboat,34.96938775510204,19.0,58.0,186.74489795918367,165.0,200.0,96.53125,70.0,114.0,98
Table Tennis Men's Doubles,25.989583333333332,17.0,45.0,176.49411764705883,163.0,193.0,71.03529411764706,58.0,98.0,98
Shooting Women's Trap,33.31958762886598,17.0,57.0,168.3125,155.0,190.0,67.53645833333333,51.0,95.0,97
Cycling Men's BMX,23.875,19.0,33.0,180.54166666666666,164.0,192.0,82.92631578947369,60.0,97.0,96
Weightlifting Men's Heavyweight II,26.0,18.0,43.0,180.66666666666666,160.0,194.0,108.51052631578948,83.0,145.0,95
"Art Competitions Mixed Architecture, Designs For Town Planning",42.84,22.0,71.0,164.0,164.0,164.0,93.0,93.0,93.0,94
Polo Men's Polo,35.348314606741575,21.0,53.0,175.5,169.0,178.0,,,,94
Athletics Men's 10 kilometres Walk,28.825581395348838,18.0,44.0,175.75,165.0,185.0,68.0,55.0,76.0,90
"Equestrianism Mixed Three-Day Event, Team",33.561797752808985,21.0,48.0,175.04705882352943,158.0,196.0,66.50588235294117,45.0,87.0,89
"Shooting Women's Sporting Pistol, 25 metres",30.15730337078652,17.0,56.0,164.38636363636363,151.0,181.0,60.625,46.0,89.0,89
Athletics Women's 10 kilometres Walk,25.681818181818183,16.0,37.0,164.125,150.0,186.0,52.07954545454545,41.0,64.0,88
Rowing Men's 17-Man Naval Rowing Boats,,,,,,,,,,85
"Equestrianism Mixed Jumping, Team",30.45679012345679,19.0,51.0,174.71428571428572,162.0,191.0,68.79220779220779,55.0,85.0,81
"Shooting Men's Running Target, 10 metres",27.641975308641975,17.0,41.0,178.8732394366197,167.0,193.0,78.85915492957747,51.0,100.0,81
Sailing Men's Skiff,28.1375,20.0,37.0,181.7948717948718,172.0,192.0,78.24358974358974,67.0,85.0,80
Sailing Mixed Open,36.18421052631579,16.0,71.0,,,,,,,80
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",25.810126582278482,16.0,45.0,164.34666666666666,153.0,180.0,59.346666666666664,43.0,105.0,79
Shooting Women's Skeet,31.949367088607595,16.0,49.0,166.40506329113924,155.0,186.0,64.45569620253164,48.0,97.0,79
Table Tennis Women's Doubles,24.294871794871796,16.0,35.0,165.43283582089552,145.0,180.0,58.17910447761194,42.0,73.0,78
Weightlifting Women's Lightweight,24.025641025641026,17.0,36.0,157.48717948717947,149.0,170.0,58.02564102564103,53.0,69.0,78
Taekwondo Men's Welterweight,25.641025641025642,17.0,37.0,185.60256410256412,170.0,199.0,79.73076923076923,68.0,87.0,78
Art Competitions Mixed Sculpturing,45.19047619047619,18.0,81.0,170.0,170.0,170.0,81.0,81.0,81.0,78
Taekwondo Men's Featherweight,23.77922077922078,18.0,35.0,179.0921052631579,169.0,192.0,68.10526315789474,62.0,83.0,77
Taekwondo Men's Flyweight,23.051948051948052,16.0,33.0,173.75324675324674,160.0,188.0,58.84415584415584,54.0,70.0,77
Swimming Women's 400 metres Individual Medley,18.94736842105263,14.0,33.0,169.04109589041096,152.0,185.0,59.986111111111114,48.0,79.0,76
Trampolining Women's Individual,25.539473684210527,18.0,39.0,161.73333333333332,154.0,172.0,52.89333333333333,43.0,60.0,76
Trampolining Men's Individual,24.736842105263158,18.0,34.0,171.3684210526316,162.0,185.0,65.83783783783784,57.0,84.0,76
